# Constructed from biom file
#ASV ID	EG-1-MK	EG-10-MK	EG-11-MK	EG-12-MK	EG-13-MK	EG-14-MK	EG-15-MK	EG-16-MK	EG-17-MK	EG-18-MK	EG-19-MK	EG-2-MK	EG-20-MK	EG-21-MK	EG-22-MK	EG-23-MK	EG-24-MK	EG-25-MK	EG-26-MK	EG-27-MK	EG-28-MK	EG-29-MK	EG-3-MK	EG-30-MK	EG-31-MK	EG-32-MK	EG-33-MK	EG-34-MK	EG-4-MK	EG-5-MK	EG-6-MK	EG-7-MK	EG-8-MK	EG-9-MK	SBS-1-MK	SBS-10-MK	SBS-11-MK	SBS-12-MK	SBS-13-MK	SBS-14-MK	SBS-15-MK	SBS-16-MK	SBS-17-MK	SBS-18-MK	SBS-19-MK	SBS-2-MK	SBS-20-MK	SBS-21-MK	SBS-22-MK	SBS-23-MK	SBS-24-MK	SBS-25-MK	SBS-26-MK	SBS-27-MK	SBS-28-MK	SBS-29-MK	SBS-3-MK	SBS-30-MK	SBS-31-MK	SBS-32-MK	SBS-33-MK	SBS-34-MK	SBS-35-MK	SBS-36-MK	SBS-37-MK	SBS-38-MK	SBS-39-MK	SBS-4-MK	SBS-40-MK	SBS-41-MK	SBS-42-MK	SBS-43-MK	SBS-44-MK	SBS-45-MK	SBS-46-MK	SBS-47-MK	SBS-48-MK	SBS-49-MK	SBS-5-MK	SBS-50-MK	SBS-51-MK	SBS-52-MK	SBS-53-MK	SBS-54-MK	SBS-55-MK	SBS-56-MK	SBS-57-MK	SBS-58-MK	SBS-59-MK	SBS-6-MK	SBS-7-MK	SBS-8-MK	SBS-9-MK	taxonomy
13f7a1ef880f3b73eeffa18951ffe96f	26518.0	0.0	1538.0	0.0	7.0	12.0	122.0	0.0	0.0	6181.0	0.0	0.0	268.0	62.0	18632.0	2536.0	0.0	0.0	22086.0	3214.0	91.0	13378.0	0.0	1265.0	3296.0	1439.0	138.0	34.0	0.0	15.0	2665.0	1599.0	4604.0	0.0	179.0	0.0	10.0	27.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	22.0	0.0	274.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	17.0	3903.0	0.0	0.0	0.0	6.0	0.0	0.0	1463.0	0.0	2449.0	29.0	4162.0	0.0	0.0	0.0	12378.0	132.0	0.0	0.0	0.0	2740.0	18.0	0.0	0.0	403.0	0.0	0.0	14501.0	13.0	4.0	0.0	594.0	0.0	18.0	21.0	0.0	d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
265460d89c1d40e3d1e4e3bcf98fcacd	0.0	7.0	18642.0	8.0	38.0	3943.0	1031.0	169.0	32.0	0.0	465.0	681.0	13.0	962.0	11369.0	5596.0	0.0	9390.0	0.0	1116.0	6728.0	207.0	2274.0	3002.0	75.0	273.0	0.0	0.0	1306.0	660.0	4587.0	37191.0	0.0	6400.0	87.0	46.0	0.0	179.0	86.0	52.0	0.0	0.0	120.0	312.0	0.0	17.0	42.0	0.0	456.0	0.0	6327.0	393.0	23.0	0.0	97.0	55.0	90.0	0.0	0.0	1861.0	959.0	4.0	0.0	2782.0	1033.0	1836.0	786.0	49.0	0.0	16.0	259.0	10.0	0.0	9.0	0.0	263.0	440.0	0.0	87.0	0.0	0.0	85.0	99.0	0.0	0.0	0.0	0.0	21.0	0.0	194.0	57.0	10.0	0.0	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia; s__Blautia_sp.
b112096aee2f3ec045da73fc0c14da83	11875.0	248.0	1724.0	161.0	1802.0	3365.0	2513.0	401.0	16.0	5.0	929.0	3080.0	2143.0	6155.0	4673.0	1104.0	60.0	6478.0	82.0	1692.0	327.0	6047.0	1588.0	2179.0	2602.0	1686.0	952.0	197.0	1883.0	759.0	25.0	1566.0	5520.0	199.0	54.0	34.0	1199.0	21.0	270.0	189.0	336.0	70.0	110.0	23.0	71.0	19.0	43.0	274.0	1780.0	392.0	7963.0	2352.0	254.0	118.0	34.0	334.0	44.0	111.0	312.0	1943.0	3029.0	0.0	0.0	29.0	2144.0	7709.0	7152.0	0.0	409.0	4889.0	168.0	64.0	111.0	181.0	30.0	197.0	227.0	168.0	24.0	157.0	17.0	0.0	90.0	60.0	313.0	0.0	891.0	607.0	73.0	53.0	1228.0	1099.0	1687.0	d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__uncultured_bacterium
a15e2abb112759aa675fac286bdb5bfd	0.0	1741.0	59.0	0.0	1921.0	17580.0	0.0	239.0	0.0	416.0	6180.0	0.0	12631.0	30.0	11590.0	110.0	0.0	961.0	0.0	5783.0	220.0	18234.0	21.0	371.0	0.0	28.0	9.0	1863.0	591.0	26.0	0.0	33.0	5049.0	10.0	3353.0	0.0	0.0	84.0	0.0	3648.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	174.0	0.0	0.0	107.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	470.0	10749.0	93.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	197.0	0.0	305.0	377.0	0.0	0.0	0.0	0.0	1538.0	43.0	28.0	0.0	0.0	215.0	434.0	0.0	2045.0	57.0	0.0	0.0	d__Bacteria; p__Bacillota; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Selenomonadaceae; g__Megamonas; s__uncultured_bacterium
1d85cc77f50beabfdcd3220130fda113	4.0	910.0	47510.0	6.0	173.0	41.0	0.0	45.0	0.0	0.0	0.0	0.0	417.0	0.0	463.0	507.0	0.0	0.0	0.0	3556.0	0.0	1478.0	37.0	259.0	0.0	0.0	0.0	0.0	382.0	1340.0	0.0	9.0	0.0	612.0	48.0	343.0	0.0	0.0	418.0	14.0	0.0	0.0	0.0	112.0	0.0	218.0	41.0	0.0	0.0	0.0	0.0	65.0	45.0	7970.0	969.0	5221.0	0.0	462.0	0.0	1129.0	0.0	0.0	0.0	0.0	3339.0	0.0	0.0	10.0	3050.0	240.0	0.0	1212.0	1172.0	167.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	946.0	18932.0	475.0	3359.0	0.0	0.0	43.0	241.0	24.0	14.0	0.0	35.0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter
2ecf37d70e24ba89e8ee6a65e3a76fd2	0.0	0.0	576.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	2020.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	17.0	384.0	2208.0	51.0	129.0	8863.0	9174.0	0.0	0.0	0.0	6091.0	10287.0	0.0	0.0	4724.0	0.0	0.0	8955.0	426.0	219.0	0.0	12754.0	95.0	2172.0	105.0	12.0	0.0	0.0	0.0	0.0	0.0	321.0	1441.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1243.0	881.0	0.0	166.0	3.0	3.0	0.0	12902.0	1109.0	0.0	178.0	11168.0	0.0	91.0	2159.0	2980.0	2229.0	d__Bacteria; p__Bacillota; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Anaerococcus; s__uncultured_bacterium
c4dd6f812a77b4e9a083471091576a9a	0.0	15.0	0.0	0.0	19.0	220.0	520.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	177.0	40.0	28817.0	2882.0	188.0	571.0	0.0	0.0	233.0	53.0	0.0	0.0	0.0	0.0	0.0	1301.0	29095.0	0.0	0.0	0.0	3531.0	0.0	132.0	0.0	0.0	3368.0	7192.0	0.0	0.0	0.0	1105.0	0.0	69.0	4.0	0.0	630.0	31.0	165.0	0.0	0.0	0.0	0.0	0.0	421.0	0.0	1238.0	0.0	0.0	0.0	17.0	0.0	11915.0	10.0	0.0	1260.0	132.0	297.0	6210.0	197.0	1440.0	0.0	0.0	321.0	0.0	0.0	56.0	0.0	58.0	0.0	1078.0	0.0	77.0	55.0	0.0	29.0	427.0	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__Fusobacterium_mortiferum
f4a793252326f1e4538e8868001f451e	0.0	0.0	1992.0	158.0	281.0	1116.0	3774.0	146.0	3966.0	0.0	82.0	716.0	19.0	6391.0	3558.0	1860.0	0.0	8361.0	0.0	2379.0	289.0	569.0	14702.0	2049.0	1056.0	332.0	2980.0	0.0	413.0	16.0	3165.0	3167.0	411.0	3435.0	293.0	0.0	0.0	1618.0	227.0	619.0	78.0	0.0	44.0	146.0	0.0	38.0	0.0	0.0	0.0	378.0	0.0	39.0	81.0	0.0	37.0	64.0	130.0	0.0	46.0	5916.0	2553.0	0.0	0.0	1450.0	0.0	5194.0	4288.0	69.0	79.0	99.0	653.0	353.0	86.0	82.0	0.0	261.0	380.0	719.0	41.0	671.0	0.0	166.0	128.0	26.0	0.0	9.0	17.0	275.0	0.0	230.0	1461.0	759.0	0.0	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
04a290ec2ac771c4fff9c0538e348595	24.0	17.0	54.0	0.0	263.0	1602.0	0.0	0.0	0.0	0.0	3.0	0.0	302.0	0.0	0.0	0.0	0.0	36.0	0.0	6191.0	32.0	0.0	0.0	0.0	0.0	0.0	61.0	12.0	37.0	0.0	0.0	46.0	1957.0	0.0	70.0	93.0	194.0	243.0	0.0	0.0	115.0	654.0	0.0	177.0	0.0	540.0	255.0	3335.0	0.0	208.0	0.0	235.0	1070.0	29.0	2904.0	0.0	2265.0	0.0	888.0	2328.0	0.0	0.0	55.0	35620.0	0.0	14.0	42.0	621.0	48.0	10.0	3279.0	1520.0	885.0	3387.0	0.0	3204.0	17.0	31.0	121.0	825.0	676.0	0.0	3191.0	935.0	919.0	4.0	48.0	749.0	2.0	83.0	1796.0	34.0	147.0	d__Bacteria; p__Bacillota; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Peptostreptococcus; s__uncultured_bacterium
5cfe7ad077848f63de52588716c15597	0.0	0.0	320.0	0.0	0.0	0.0	8.0	941.0	32.0	0.0	0.0	0.0	0.0	0.0	1185.0	0.0	2398.0	20.0	106.0	0.0	0.0	5.0	149.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	394.0	0.0	6930.0	0.0	3.0	0.0	15779.0	0.0	0.0	3192.0	0.0	0.0	0.0	19.0	0.0	0.0	1423.0	8468.0	0.0	3115.0	47.0	0.0	76.0	0.0	33.0	3.0	7.0	17757.0	4.0	0.0	0.0	0.0	0.0	24.0	0.0	22.0	4158.0	0.0	0.0	0.0	0.0	0.0	216.0	0.0	355.0	0.0	413.0	1950.0	0.0	0.0	0.0	33.0	0.0	11.0	4012.0	0.0	1943.0	0.0	0.0	22.0	11.0	0.0	5.0	d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Fastidiosipila; s__uncultured_bacterium
efa98c673cef7e11e51b27d01167c2af	875.0	0.0	780.0	74.0	0.0	39.0	13.0	0.0	6602.0	7286.0	23.0	255.0	97.0	0.0	0.0	183.0	3747.0	0.0	53.0	68.0	20.0	407.0	19.0	0.0	2561.0	2517.0	0.0	0.0	114.0	226.0	11.0	181.0	12.0	6208.0	0.0	10.0	0.0	2933.0	263.0	829.0	0.0	25.0	0.0	0.0	0.0	0.0	140.0	0.0	0.0	0.0	18186.0	492.0	30.0	0.0	0.0	23.0	23.0	0.0	0.0	0.0	7.0	5536.0	0.0	10.0	0.0	1955.0	0.0	15.0	0.0	0.0	0.0	1176.0	11.0	60.0	42.0	0.0	972.0	7.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	10.0	224.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacillota; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Romboutsia
18d35d2c0051af0eaa26ac5cab476222	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	289.0	109.0	4.0	546.0	61.0	147.0	3621.0	5744.0	0.0	0.0	0.0	3171.0	11308.0	2076.0	0.0	2159.0	3.0	0.0	2832.0	3215.0	143.0	0.0	3691.0	0.0	563.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2780.0	384.0	0.0	0.0	62.0	1789.0	0.0	0.0	4923.0	308.0	0.0	0.0	3221.0	0.0	47.0	476.0	10.0	651.0	d__Bacteria; p__Bacillota; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Murdochiella
4b3f32f00d9199f933b2f7247bf085d8	0.0	0.0	0.0	348.0	0.0	6.0	0.0	2523.0	0.0	0.0	0.0	0.0	6167.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	7973.0	0.0	5508.0	448.0	0.0	0.0	0.0	8448.0	23.0	0.0	76.0	3586.0	0.0	0.0	2959.0	0.0	0.0	78.0	0.0	4395.0	982.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	1672.0	90.0	0.0	1326.0	17.0	117.0	0.0	0.0	15.0	0.0	68.0	0.0	0.0	0.0	0.0	211.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	315.0	0.0	1930.0	0.0	0.0	10.0	245.0	56.0	56.0	0.0	0.0	287.0	1446.0	0.0	466.0	0.0	0.0	0.0	d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__uncultured_bacterium
896d40b40b03d3405808f24a938f95a5	0.0	14.0	60.0	0.0	46.0	436.0	29.0	190.0	0.0	0.0	45.0	219.0	448.0	66.0	1936.0	708.0	142.0	3141.0	0.0	891.0	137.0	6462.0	354.0	1625.0	63.0	81.0	2415.0	119.0	6229.0	1393.0	3812.0	297.0	600.0	0.0	84.0	0.0	208.0	0.0	150.0	212.0	165.0	0.0	18.0	13.0	0.0	0.0	0.0	99.0	35.0	20.0	125.0	634.0	14.0	35.0	106.0	81.0	18.0	0.0	144.0	62.0	12917.0	0.0	0.0	34.0	0.0	15.0	375.0	0.0	14.0	73.0	47.0	0.0	15.0	0.0	0.0	262.0	127.0	181.0	35.0	0.0	9.0	0.0	243.0	0.0	56.0	0.0	152.0	30.0	0.0	101.0	219.0	160.0	1033.0	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
deb32587cc8c95ce530965c91f076e18	2755.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	44.0	0.0	1098.0	0.0	0.0	0.0	222.0	4014.0	64.0	0.0	409.0	24.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	106.0	0.0	35901.0	437.0	0.0	0.0	0.0	0.0	224.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
